age,revenu_annuel,anciennete_emploi_mois,montant_credit,duree_credit_mois,taux_endettement,nb_credits_actifs,historique_impayes_24m,score_bureau,ratio_utilisation_cartes,nb_enfants,logement,defaut
61,53866.2,101,11499.11,75,,2,1,787,0.69,5,proprietaire,1
26,74046.82,20,32444.16,28,0.67,5,6,512,0.02,5,famille,0
39,13608.99,84,34099.24,61,0.67,6,1,751,0.98,5,locataire,0
33,56335.4,38,15244.26,"55,00",0.44,6,3,523,0.14,4,proprietaire,0
31,92416.61,19,13490.73,80,0.21,0,8,493,0.73,5,famille,0
45,71137.76,205,31811.49,57,0.08,1,6,649,0.33,2,famille,1
29,27541.42,130,10885.71,34,0.21,0,6,819,0.19,1,locataire,0
33,48734.41,154,27903.55,67,NA,2,0,454,0.35,5,locataire,0
27,16928.12,0,38355.07,76,0.08,5,11,537,0.72,3,proprietaire,0
52,,57,40780.88,83,0.35,0,2,706,0.44,5,famille,1
50,37777.53,73,39347.8,84,0.71,5,9,537,0.5,1,famille,0
64,93144.93,49,16940.09,75,0.13,3,5,476,0.99,6,famille,1
49,40906.32,14,36941.06,23,0.59,0,2,814,0.09,5,locataire,0
53,21118.72,161,7792.75,12,0.69,2,0,615,0.57,3,locataire,0
60,14329.88,171,43637.47,25,0.39,0,11,818,0.3,3,locataire,1
68,68800.45,211,41107.42,21,0.62,0,0,659,0.75,6,proprietaire,1
59,76281.67,89,2328.91,80,0.58,6,1,601,0.44,1,famille,1
30,48303.54,31,3109.65,71,0.34,5,6,688,0.26,5,proprietaire,0
45,22119.37,87,3894.87,50,0.17,7,8,592,0.97,5,famille,0
31,53454.94,62,16178.4,58,0.4,7,1,508,0.81,4,proprietaire,0
51,90159.08,175,37280.01,39,0.35,7,4,634,0.65,6,famille,1
31,56207.11,114,21981.14,50,0.09,3,6,637,0.88,4,proprietaire,0
65,16707.24,26,35593.17,18,0.11,4,11,572,0.8,1,locataire,1
52,14757.92,193,41784.92,77,0.71,0,11,749,0.06,2,locataire,0
57,71462.09,13,4155.55,67,0.55,6,6,460,0.0,0,proprietaire,1
24,62898.08,175,29674.07,77,0.7,0,5,632,0.33,0,locataire,0
33,30781.81,240,27963.34,72,0.37,1,4,655,0.57,1,proprietaire,0
61,85007.43,212,23085.98,62,0.32,7,10,403,0.78,1,locataire,1
27,26664.73,176,18007.87,84,0.68,5,3,485,0.55,1,locataire,0
63,92390.22,33,22922.48,44,0.61,6,0,525,0.16,2,famille,1
60,29645.1,229,26737.89,73,0.33,0,3,629,0.31,2,proprietaire,1
59,60783.54,146,8804.01,56,0.65,7,2,581,0.27,4,proprietaire,1
44,82641.41,125,26522.4,77,0.25,3,12,409,0.47,5,proprietaire,1
36,38295.83,166,24426.7,79,0.41,4,9,461,0.6,3,proprietaire,0
23,75847.33,87,16572.01,40,0.21,7,8,712,0.12,6,locataire,0
57,77776.22,212,2127.98,38,0.41,7,5,601,0.21,2,famille,1
55,28289.78,65,21863.73,68,0.12,6,5,707,0.54,4,locataire,0
44,19605.31,144,38222.59,55,0.09,3,0,689,0.95,2,proprietaire,0
36,92325.98,113,18082.2,23,0.55,6,10,521,0.02,1,famille,1
30,90499.6,48,20830.1,39,0.06,4,0,713,0.99,1,proprietaire,0
31,,204,2535.72,78,0.33,1,8,666,0.02,1,proprietaire,0
57,68381.87,195,39025.92,42,0.59,4,4,638,0.36,1,locataire,1
55,21872.75,10,17501.34,76,0.54,5,2,756,0.19,6,locataire,0
34,26962.42,25,44655.07,55,0.66,6,6,786,0.97,5,locataire,0
36,22087.41,211,38549.66,16,0.55,2,12,809,0.58,2,proprietaire,0
49,26193.6,154,19316.56,84,0.38,6,8,804,0.8,1,proprietaire,0
42,34670.34,231,31496.35,66,0.08,4,2,646,0.31,4,famille,0
40,88231.88,191,13777.63,54,0.63,1,9,481,0.99,6,famille,1
31,75005.31,204,6618.37,8,0.07,7,8,420,0.92,3,famille,0
32,50471.48,130,21452.91,19,0.71,4,10,572,0.77,6,locataire,0
51,72211.83,56,3368.92,62,0.42,3,6,604,0.52,1,famille,1
38,79511.34,191,1433.84,42,0.07,6,5,601,0.63,1,locataire,1
60,35582.14,159,24151.98,68,0.35,6,3,564,0.42,7.29,proprietaire,1
51,59227.86,178,18508.0,36,0.41,4,6,421,0.81,1,famille,1
24,91717.93,68,16763.09,29,0.41,3,11,713,0.71,4,proprietaire,0
68,63748.65,202,15791.51,31,0.67,3,12,688,0.95,5,locataire,1
52,23209.26,110,10840.98,38,0.1,5,4,697,0.63,5,locataire,0
47,78106.96,62,43449.41,23,0.69,5,1,795,0.09,3,locataire,1
51,14241.88,107,4787.26,49,0.64,5,1,567,0.55,0,famille,0
42,43849.85,158,22052.48,35,0.46,6,4,720,0.21,4,locataire,0
30,44242.71,213,11273.69,58,0.45,4,8,745,0.42,2,proprietaire,0
28,81492.43,223,10394.43,53,0.62,1,10,679,0.7,2,locataire,0
65,76281.71,27,13238.11,82,0.59,5,3,582,0.08,1,locataire,1
63,27639.61,115,22786.29,81,0.71,2,3,508,0.9,3,famille,1
22,64520.42,38,4482.22,44,0.44,1,5,482,0.52,6,famille,0
35,88102.79,125,20538.55,80,0.52,4,12,790,0.09,3,locataire,1
32,20454.5,127,40723.07,41,0.23,2,9,716,0.13,4,famille,0
31,33807.08,173,36355.84,60,0.68,6,1,543,0.73,4,proprietaire,0
61,50440.23,90,21149.4,36,0.54,1,0,811,0.95,1,proprietaire,1
25,32805.17,79,18151.59,64,0.24,6,2,665,0.7,0,locataire,0
45,47639.95,160,12693.47,12,0.12,5,10,785,0.44,2,famille,1
57,93423.63,166,19285.51,48,0.66,3,12,644,0.59,4,locataire,1
31,92405.97,123,36626.52,9,0.14,1,6,723,0.28,2,proprietaire,0
63,30259.94,104,29774.7,41,0.32,4,3,694,0.51,2,proprietaire,1
25,72153.67,145,40493.17,46,0.27,7,9,628,0.7,6,proprietaire,0
24,89293.74,167,17896.36,24,0.64,3,2,687,0.5,1,locataire,0
66,12424.51,141,26021.68,44,0.42,0,5,762,0.91,3,famille,1
46,34845.19,18,7080.14,49,0.48,2,3,739,0.11,2,famille,0
28,80976.82,185,18435.08,17,0.37,4,12,459,0.92,5,famille,0
51,53365.61,64,31458.51,51,0.46,3,3,550,0.46,5,proprietaire,1
40,83261.15,19,39512.56,40,0.58,7,0,549,0.17,6,locataire,0
26,22919.02,199,10249.46,63,0.52,3,5,729,0.2,2,proprietaire,0
44,43810.9,158,6149.42,61,0.37,5,6,726,0.68,3,locataire,0
34,44407.04,173,NA,66,0.06,0,1,678,0.47,3,proprietaire,0
26,79044.32,190,7077.75,43,0.26,5,1,749,0.92,6,proprietaire,0
48,91800.21,118,43315.82,62,0.68,5,7,677,0.12,6,locataire,1
31,85963.61,201,38074.0,20,0.35,7,12,531,0.04,6,locataire,1
55,82270.8,NA,19317.53,58,0.68,0,6,640,0.33,5,famille,1
28,62914.28,169,4973.99,59,0.54,5,10,492,0.62,2,proprietaire,0
57,68644.86,226,17932.08,64,0.33,6,0,544,0.93,4,famille,1
25,90655.08,62,29151.15,73,0.31,7,0,676,0.31,4,famille,0
29,44897.78,142,19653.66,13,0.61,7,6,528,0.44,3,famille,0
49,65626.21,128,6775.02,68,0.35,1,0,555,0.06,3,proprietaire,1
63,84710.2,94,35449.03,73,0.54,5,12,401,0.13,2,famille,1
68,56993.16,212,31046.27,44,0.06,5,2,591,0.89,4,famille,1
65,64749.58,16,39188.5,75,0.42,0,0,563,0.48,4,locataire,1
27,84673.94,196,11503.33,46,0.54,0,5,534,0.41,3,famille,0
26,34254.08,97,36893.71,40,0.24,6,10,640,0.84,2,famille,0
39,83896.07,240,38403.6,9,0.57,3,4,489,,1,famille,1
57,92518.53,215,14954.84,25,0.67,0,8,754,0.82,5,locataire,1
49,43755.68,162,43037.49,34,0.18,2,2,477,0.87,6,proprietaire,1
66,43040.03,128,14246.14,16,0.14,7,5,523,0.99,5,famille,1
26,13106.82,222,42081.98,9,0.56,5,7,672,0.62,5,locataire,0
56,77902.66,183,15649.76,28,0.54,0,7,597,0.75,1,famille,1
52,75214.53,94,9050.7,26,0.46,6,0,538,0.7,2,locataire,1
65,19328.93,111,22347.36,46,0.29,5,4,405,0.98,0,famille,1
55,72241.32,136,38875.82,66,0.15,5,8,577,0.82,6,famille,1
23,14241.11,54,8413.09,50,0.65,5,11,656,0.42,2,locataire,0
34,70614.46,56,8593.98,83,0.11,6,4,572,0.07,3,locataire,0
53,22501.86,127,14672.3,44,0.41,4,8,675,0.32,2,proprietaire,0
41,48454.73,176,25130.11,8,0.18,3,6,677,0.43,1,famille,0
60,52750.0,39,44953.3,63,0.45,7,11,673,0.78,5,locataire,1
27,16833.07,61,7041.54,50,0.64,5,8,402,0.99,5,locataire,0
24,74062.39,239,19949.66,12,0.6,0,7,707,0.17,1,famille,0
61,79876.36,132,2324.14,77,0.59,0,11,697,0.96,4,famille,1
51,40604.27,103,39423.69,19,0.46,3,0,"714,00",0.84,5,famille,0
39,42833.22,98,15909.72,52,0.55,2,10,783,0.17,6,locataire,0
42,60868.17,157,11273.48,47,0.59,3,11,478,0.35,1,locataire,1
55,25873.82,154,5112.25,60,0.31,1,5,798,0.49,2,famille,1
32,46143.93,21,15412.56,32,0.66,NA,0,432,0.35,4,locataire,0
25,64522.7,151,20942.39,11,0.5,1,8,723,0.36,4,locataire,0
41,20319.78,142,30706.93,14,0.7,5,8,435,0.87,4,locataire,0
38,71340.31,118,40929.62,76,0.66,0,7,419,0.75,4,proprietaire,0
41,35174.66,147,10835.71,"28,00",,5,7,626,0.84,4,locataire,0
58,32062.13,57,13628.99,6,0.25,4,8,427,0.09,1,famille,1
48,28520.86,178,29090.82,34,0.08,4,2,584,0.22,6,proprietaire,0
45,83728.29,83,19019.25,51,0.65,1,5,623,0.09,0,proprietaire,1
25,83173.06,147,18557.81,63,0.59,4,4,772,0.58,6,famille,0
32,43192.63,176,24297.38,28,0.37,7,9,634,0.28,0,locataire,0
56,44007.66,20,1870.71,36,0.34,1,2,433,0.45,0,proprietaire,1
63,22221.06,137,4777.1,23,0.15,5,1,547,0.55,0,locataire,1
43,50731.02,72,31288.19,76,0.61,3,0,510,0.49,3,locataire,0
52,72092.84,175,24981.86,22,0.14,3,0,"715,00",0.44,5,proprietaire,1
23,85315.26,134.11,13061.86,38,0.17,5,5,631,0.45,3,locataire,0
37,68211.61,6,21915.78,23,0.57,4,3,514,0.6,5,proprietaire,0
57,36105.38,151,23738.92,24,0.47,4,1,475,0.61,3,locataire,1
67,88004.43,144,4669.15,60,0.37,0,10,768,0.6,2,locataire,1
30,25570.38,99,38931.39,58,0.53,5,11,487,0.62,"2,00",proprietaire,0
59,69379.51,33,20957.49,51,0.35,2,8,640,0.07,4,proprietaire,1
40,91662.52,163,17949.2,6,0.3,2,2,470,0.27,6,proprietaire,1
49,39052.79,213,9533.03,47,0.14,3,10,815,0.12,3,proprietaire,1
67,27924.28,16,36921.99,8,0.58,5,6,736,0.45,3,famille,1
24,57716.53,76,1300.07,17,0.71,4,6,455,0.77,6,famille,0
33,19582.02,122,35896.56,13,0.72,3,10,533,"0,83",4,famille,0
34,89095.05,3,40516.05,50,0.41,NA,12,535,0.16,6,locataire,0
45,85281.15,40,3795.25,13,0.41,0,6,604,0.17,2,famille,1
25,12158.57,209,28577.86,67,0.55,0,11,714,0.69,2,locataire,0
29,32856.26,149,27178.35,47,0.54,7,0,630,0.54,2,proprietaire,0
58,78257.93,234,35328.98,35,0.3,5,8,662,0.04,3,locataire,1
46,89447.19,105,27269.36,13,0.17,,3,417,0.48,0,proprietaire,1
41,80930.77,240,6899.26,80,0.31,5,9,482,0.68,4,famille,1
44,69787.26,14,33617.03,25,0.24,2,0,534,0.11,4,famille,0
37,71076.69,47,20433.64,11,0.42,4,7,777,0.55,1,locataire,0
55,24153.07,121,4296.95,63,0.55,1,8,580,0.38,5,locataire,0
47,22703.44,96,20794.25,9,0.57,2,9,744,0.95,4,locataire,0
42,12810.49,204,25116.49,27,0.34,5,11,755,0.96,0,famille,0
49,18875.81,170,3813.27,15,0.34,3,3,665,0.86,1,locataire,0
65,50372.27,154,25815.94,6,0.38,3,4,539,0.71,2,locataire,1
40,62535.95,24,42407.71,80,0.07,6,6,617,0.55,6,proprietaire,0
25,59443.28,29,27270.51,38,0.58,1,5,651,0.27,6,locataire,0
32,43634.22,46,20164.42,8,0.13,1,10,734,0.97,3,locataire,0
22,86725.93,103,16720.24,20,0.61,5,10,473,0.74,5,famille,0
64,15208.98,35,16814.55,72,0.25,1,3,446,0.66,3,famille,0
50,41494.12,12,17119.14,22,0.34,0,7,601,0.01,4,proprietaire,0
35,41012.56,240,13700.07,54,0.58,7,6,442,0.19,4,famille,0
56,86112.74,31,6542.97,64,0.6,1,4,726,0.4,6,locataire,1
43,41271.18,74,18954.72,84,0.31,6,2,427,0.67,4,proprietaire,0
51,72110.08,33,11126.32,44,0.4,5,2,545,0.18,2,locataire,1
53,73545.8,7,24202.88,77,0.31,6,4,5699.14,0.16,1,proprietaire,1
25,43966.19,67,31255.76,56,0.61,0,6,651,0.57,1,locataire,0
,62677.21,123,3646.74,40,0.6,3,0,719,0.9,3,famille,1
26,74538.33,232,25016.24,83,0.38,5,9,695,0.02,4,locataire,0
52,36543.02,13,10029.99,52,0.09,7,1,707,0.87,6,famille,0
42,71084.53,240,29199.78,66,0.19,6,6,611,0.07,6,famille,1
49,32090.41,18,38045.63,47,0.71,5,2,602,0.93,2,proprietaire,0
52,66180.43,185,16886.73,78,0.08,7,12,671,0.34,1,locataire,1
26,44279.98,139,28917.48,6,0.32,3,4,802,0.51,1,proprietaire,0
64,78298.19,,12460.02,38,0.58,4,0,739,0.79,1,famille,1
22,20148.3,216,31997.45,59,0.6,6,8,688,0.3,5,famille,0
60,46491.46,43,12479.52,,0.62,5,1,731,0.27,6,famille,1
58,26795.91,216,20115.94,80,0.12,4,11,683,0.51,6,locataire,1
48,37042.64,119,35291.72,38,0.51,2,8,513,0.03,5,locataire,0
23,16851.9,43,34368.84,29,0.26,1,2,490,0.02,4,proprietaire,0
44,83072.52,103,40012.2,9,0.66,7,11,482,0.57,1,proprietaire,1
42,89981.87,240,21214.06,75,0.35,5,11,535,0.74,1,proprietaire,1
56,23262.75,194,27540.77,35,,7,4,766,0.63,3,locataire,1
52,81128.34,144,6511.08,34,0.23,3,5,611,0.68,5,locataire,1
61,93435.88,155,12525.13,15,0.68,3,1,573,0.6,3,famille,1
50,53136.15,188,3870.77,43,0.57,4,11,685,0.46,1,famille,1
56,60351.93,5,35976.89,58,0.31,0,5,552,0.94,1,famille,1
55,65271.9,137,14866.12,28,0.61,4,1,695,0.04,1,proprietaire,1
,40276.87,7,42201.4,56,0.09,4,4,710,0.98,0,proprietaire,0
30,59526.75,98,18727.39,69,0.18,7,8,816,0.06,1,famille,0
58,46629.81,88,29932.97,80,0.29,7,7,595,0.44,5,famille,1
57,22850.3,189,3753.13,77,0.5,5,10,755,0.15,2,famille,1
22,41598.3,79,1467.99,71,0.25,2,12,706,0.06,2,locataire,0
56,73414.06,140,40041.73,64,0.2,4,5,712,0.71,0,famille,1
42,55698.11,151,25396.14,16,0.45,0,10,501,0.01,1,locataire,0
62,73424.68,154,32003.23,44,0.24,2,0,803,0.29,1,locataire,1
28,17259.54,176,21192.81,25,0.19,5,6,737,0.93,6,locataire,0
