temperature_c,vibration,humidite_pct,pression_bar,heures_utilisation_jour,nb_alertes_7j,derniere_maintenance_jours,nb_interventions_12m,consommation_kwh_j,indice_usure,site,equipement_type,panne_30j
61.4,13.26,74.47,8.79,14.39,16,162,8,862.367841,81.94,C,pompe,0
53.97,14.65,24.69,8.28,6.9,17,476,7,53.698937,85.26,B,pompe,0
89.61,15.95,60.69,8.06,15.89,4,154,6,454.582371,21.92,A,pompe,1
66.24,12.65,10.75,6.49,7.14,6,659,8,43.961897,21.15,A,convoyeur,1
63.86,11.81,12.36,3.89,21.35,4,119,12,654.907683,95.45,C,compresseur,0
65.5,9.45,51.76,5.08,5.48,23,490,11,198.209289,73.95,B,convoyeur,1
58.6,6.18,10.39,4.82,20.75,5,399,10,92.226404,62.92,B,convoyeur,0
62.2,17.96,24.82,2.69,21.75,12,344,11,90.357044,81.91,A,convoyeur,0
55.34,13.7,44.57,8.1,19.17,20,282,17,420.221111,43.3,A,convoyeur,0
48.32,4.38,57.98,5.41,18.65,17,65,1,667.634605,12.49,B,compresseur,0
71.46,13.64,68.41,5.85,19.24,25,411,2,741.668583,39.86,A,compresseur,0
80.81,3.01,15.55,8.36,19.99,0,249,3,221.308635,2.72,B,convoyeur,0
80.73,0.83,44.2,5.58,16.35,10,448,14,142.037221,31.81,B,pompe,0
83.48,15.17,45.72,7.76,14.7,0,665,6,262.430849,39.76,C,pompe,0
60.89,12.04,63.41,6.86,15.62,0,327,1,262.770851,31.32,C,convoyeur,0
50.41,11.97,80.21,2.24,10.11,25,562,13,535.262703,92.24,B,compresseur,0
48.01,0.88,20.18,8.81,4.42,16,225,0,286.113169,53.61,A,pompe,0
52.29,4.54,44.75,6.33,12.18,7,165,18,593.787384,90.59,A,convoyeur,0
84.14,3.4,10.97,2.4,20.6,3,102,9,837.683501,8.56,A,pompe,0
71.44,17.42,52.84,5.26,3.5,,143,95.29,618.293836,50.47,A,convoyeur,1
79.21,0.86,27.25,8.82,19.16,23,444,17,512.642147,,B,convoyeur,0
47.15,17.79,56.81,7.02,4.95,3,602,1,1037.72513,3.57,A,convoyeur,0
68.3,9.02,88.76,4.76,15.89,3,526,4,178.189127,26.76,B,compresseur,0
60.69,7.06,72.13,7.39,13.32,25,613,16,193.951434,82.88,C,pompe,0
56.7,9.02,29.16,6.73,19.89,7,437,17,176.802222,66.04,A,convoyeur,0
36.19,3.06,36.69,4.61,16.14,18,,14,360.576359,39.42,A,convoyeur,0
49.37,6.96,36.49,6.94,8.06,12,599,0,692.668799,22.16,C,convoyeur,0
94.74,6.02,14.54,7.42,19.69,6,601,0,267.558608,52.07,A,compresseur,0
42.0,2.96,59.63,0.91,9.44,1,165,5,354.522864,68.75,A,pompe,0
38.52,18.41,78.11,4.99,19.39,18,372,5,875.17641,98.44,C,pompe,0
83.17,9.09,49.08,5.89,9.19,22,677,5,661.361342,40.07,C,compresseur,0
66.63,2.54,28.96,7.2,17.66,13,310,10,630.112759,19.23,A,pompe,0
71.17,10.4,61.26,2.55,11.62,13,74,12,604.824707,71.31,B,pompe,0
56.29,14.96,36.72,6.04,1.81,8,362,7,523.401491,77.74,C,convoyeur,0
94.29,13.46,23.36,2.98,16.69,16,216,17,594.070748,81.93,C,convoyeur,1
83.27,9.59,52.93,4.95,4.99,0,626,3,74.484687,78.7,A,compresseur,1
50.73,2.84,48.24,1.36,9.66,11,91,13,1082.04935,28.13,C,convoyeur,0
69.91,9.84,57.53,1.77,11.18,18,535,18,582.933893,90.48,A,pompe,0
55.04,0.37,81.92,1.72,3.04,14,366,8,4.54771,37.64,B,convoyeur,0
69.92,12.12,84.76,7.39,14.27,5,351,3,379.643139,9.17,C,pompe,0
48.49,3.72,43.13,1.1,10.04,18,509,11,483.423371,60.05,A,convoyeur,0
61.51,2.52,39.74,7.58,13.28,11,2784.57,18,142.441857,80.28,C,pompe,0
78.96,12.32,16.95,6.1,10.43,3,48,1,717.189156,22.78,A,compresseur,0
81.69,17.7,44.22,4.28,,25,472,7,548.979294,32.42,B,pompe,1
56.46,18.45,49.24,0.97,7.1,23,294,12,590.268334,35.37,A,convoyeur,1
90.85,13.5,72.37,5.46,8.41,12,396,6,855.928955,23.7,A,convoyeur,1
85.78,12.54,63.59,7.53,1.96,19,660,17,246.071646,96.63,C,convoyeur,0
38.99,17.44,70.18,5.46,17.57,24,402,18,246.215538,41.03,B,convoyeur,1
66.56,8.52,18.83,8.8,1.44,22,37,5,1652.380095,41.63,B,pompe,0
57.0,9.38,73.82,4.33,14.96,3,628,18,210.907467,82.62,C,convoyeur,0
89.53,17.42,47.02,4.47,20.79,24,166,9,632.735694,17.0,C,compresseur,1
93.25,3.82,84.48,4.61,3.03,11,474,14,35.063641,43.75,C,compresseur,0
