distance_km,poids_kg,volume_m3,cout_transport,delai_preparation_h,nb_points_passage,score_qualite_route,meteo_risque,promesse_delai_h,jour_semaine,transporteur,priorite,retard
242.65,67.46,2.45,250.027883,12.66,18,84.64,3.74,22.42,2,T1,express,0
1445.27,86.98,0.22,358.450101,,15,21.27,65.11,203.7,6,T2,express,1
912.86,64.74,2.07,143.484141,57.17,14,90.09,49.53,200.5,5,T1,standard,0
668.69,19.17,2.01,150.043998,18.65,1,98.34,10.64,79.45,5,T2,express,0
784.02,45.92,,411.511462,41.43,18,55.91,66.77,119.84,2,T3,standard,0
3084.77,36.58,1.45,380.730245,1.27,10,79.19,66.14,198.97,1,T2,express,0
4026.0,107.63,0.11,431.862606,65.91,1,38.73,52.04,97.14,7,T1,express,1
833.08,24.5,2.1,365.092565,28.34,7,74.19,30.3,104.07,5,T2,standard,1
2855.88,67.25,3.42,60.833791,39.16,1,68.54,97.65,42.2,2,T3,standard,0
3041.41,56.13,0.32,261.703104,30.41,3,5.65,76.79,169.66,6,T1,standard,0
417.15,26.03,0.68,159.904592,51.72,4,87.9,27.0,228.87,3,T3,express,0
1565.33,84.05,2.01,109.569703,20.8,9,62.65,56.66,163.58,7,T2,standard,0
3137.49,70.44,0.75,349.115046,13.22,1,52.42,86.67,137.13,1,T3,standard,0
589.41,22.87,3.08,187.813207,8.83,2,62.25,89.28,135.23,5,T3,standard,0
2644.75,105.31,1.96,196.143651,44.82,1,86.35,79.67,169.18,4,T3,standard,1
2807.33,66.24,1.3,363.702868,63.66,11,4.9,97.15,176.53,2,T1,standard,0
3070.6,14.96,0.65,97.892542,54.6,10,86.29,48.63,104.31,4,T2,express,1
1398.42,102.52,2.1,381.24289,47.13,16,44.99,85.82,97.63,4,T1,standard,1
582.83,96.56,3.22,257.251343,31.82,12,92.4,1.49,51.03,1,T2,express,0
1045.63,61.96,2.91,165.479956,44.95,14,4.9,49.78,95.76,7,T1,standard,0
2196.62,94.07,2.16,396.036402,36.04,8,60.59,60.35,204.84,7,T2,express,0
3166.26,59.41,2.87,74.290118,20.31,17,49.23,21.47,131.97,6,T2,express,0
1492.73,104.28,0.57,160.35089,15.88,5,5.6,76.3,191.45,7,T2,standard,1
2126.22,39.12,0.05,0,11.49,7,91.28,23.53,44.21,4,T1,express,0
2947.26,19.58,0.53,242.14575,50.58,1,55.22,78.77,129.38,2,T2,standard,1
3005.49,119.01,0.85,320.417338,50.5,2,89.29,76.22,47.88,6,T3,express,1
2713.28,48.32,3.01,200.622477,7.53,1,78.27,53.05,226.22,7,T3,express,1
207.74,39.28,3.35,254.620699,161.81,2,47.75,81.64,122.83,"5,00",T2,express,0
2706.88,112.32,2.43,190.219344,42.57,18,64.21,74.74,139.44,1,T3,standard,1
1865.64,31.19,2.25,282.327132,12.67,2,29.58,32.32,8.42,5,T2,standard,0
2431.21,21.01,2.95,400.707007,61.39,4,59.87,13.78,228.29,6,T3,express,0
2252.33,42.46,0.86,139.618134,27.35,NA,3.26,89.19,122.38,6,T1,express,0
449.01,63.64,1.32,337.670925,10.21,5,23.28,59.16,168.33,7,T2,express,0
2862.46,45.91,2.57,312.277093,41.82,3,24.03,66.75,227.82,1,T3,express,0
1730.01,107.63,3.35,315.203172,65.82,18,20.12,13.17,36.99,5,T2,express,0
2341.43,69.35,0.57,287.978391,41.58,9,74.9,8.74,56.06,5,T2,express,0
2200.64,25.09,2.28,337.631552,44.44,5,1.86,30.89,19.22,3,T2,standard,1
2889.34,22.88,2.43,351.779964,45.52,17,84.89,58.66,22.75,6,T2,standard,0
2067.5,33.86,3.05,285.286992,23.06,14,7.67,64.87,187.35,6,T3,express,0
1777.83,13.25,0.63,393.462539,36.31,7,84.78,44.45,155.96,4,T1,express,0
3150.15,93.15,2.04,440.37064,26.51,12,32.31,78.84,107.53,3,T2,express,0
57.09,50.04,3.15,710.713765,15.91,8,38.3,31.47,117.41,4,T2,express,0
287.58,68.79,0.75,0,44.65,5,89.9,66.15,108.97,2,T1,express,0
,3.65,2.43,63.868729,27.87,14,58.98,76.69,98.25,6,T1,express,0
2423.04,46.91,1.85,265.931295,47.52,16,64.27,4.58,237.65,3,T1,standard,1
1415.18,99.56,1.23,23.360367,0.69,17,6.85,32.87,222.21,2,T3,express,0
2767.41,23.55,0.32,203.088892,27.5,1,93.02,61.15,179.74,6,T3,standard,0
2569.96,47.35,2.34,312.084911,15.13,6,38.12,52.46,157.01,3,T3,standard,0
654.61,19.16,2.98,34.433824,55.91,17,72.89,58.9,208.65,3,T2,express,0
2341.07,85.37,2.94,162.422179,27.57,3,91.54,99.14,18.84,6,T2,,0
100.57,115.08,0.51,166.545754,30.84,10,11.7,71.88,172.22,2,T2,express,0
320.54,83.15,3.3,245.202745,32.62,4,50.7,40.11,97.44,3,T1,express,1
996.22,119.19,3.09,0,13.25,2,30.74,56.68,171.07,1,T1,,0
1693.87,94.2,0.64,308.875887,4.46,13,47.21,81.6,69.18,1,T1,standard,0
1783.48,9.38,0.34,364.761459,43.46,11,83.29,80.11,119.4,6,T3,express,0
578.75,8.87,2.64,0,38.15,4,52.34,23.19,77.77,6,T1,express,0
2328.83,45.25,0.34,357.06733,7.11,7,48.41,78.74,8.26,5,T2,standard,0
1988.24,69.16,0.45,0,36.57,15,43.55,52.66,239.98,3,T3,standard,0
2391.24,40.95,2.23,369.171685,7.08,13,99.63,86.89,29.61,3,,express,0
1828.64,40.68,3.19,337.618961,28.99,10,46.86,46.76,143.28,2,T3,standard,1
1698.36,101.18,1.62,265.795331,43.67,9,1.51,89.45,216.72,7,T2,express,0
39.23,81.41,0.53,320.585803,27.88,2,98.29,94.86,88.25,7,T1,express,0
880.46,55.06,0.76,31.263676,14.52,16,1.9,61.72,181.38,6,T2,standard,0
1299.25,16.17,3.02,90.904641,67.74,8,5.04,33.15,219.52,3,T2,standard,1
2357.42,7.35,2.31,116.057931,20.66,2,2.72,69.51,45.75,6,T3,express,0
988.03,87.65,1.14,320.966243,7.14,12,24.83,98.13,100.05,6,T1,standard,1
2654.73,79.98,2.99,64.044736,16.37,10,89.9,0.11,148.35,5,T3,standard,1
257.36,21.28,1.01,17.035184,57.11,8,82.02,90.98,40.96,5,T2,express,0
1178.72,97.06,3.48,250.779905,19.4,6,97.59,92.39,176.43,6,T1,express,0
543.27,45.26,2.54,119.661742,27.74,4,84.68,40.18,93.08,5,T3,express,0
698.22,118.81,2.7,314.626243,30.96,13,77.17,32.95,223.23,3,T3,standard,1
1517.56,55.17,2.08,370.670075,13.97,6,72.68,6.48,180.05,4,T1,express,0
2372.79,29.39,2.62,170.746955,23.44,10,73.78,52.46,46.68,2,T1,standard,0
2586.18,90.87,0.66,224.611109,12.51,13,28.68,32.77,135.74,6,T3,express,1
1381.46,62.79,2.84,0,63.84,12,42.97,77.76,123.91,1,T3,standard,0
716.85,109.66,3.39,362.474063,67.15,3,79.42,76.28,75.85,5,T1,standard,0
2287.49,13.34,1.23,54.852388,22.49,10,48.49,94.47,92.45,7,T1,express,0
1838.28,100.14,0.48,300.030633,69.88,8,11.97,19.24,201.68,5,T2,express,1
91.24,14.49,1.73,0,9.7,12,72.63,35.13,49.26,NA,T2,express,0
942.09,73.24,3.05,103.060095,64.01,10,18.27,55.74,208.96,5,T3,express,1
523.2,83.31,0.19,40.78049,42.91,16,20.02,36.77,49.87,5,T1,express,0
1702.32,84.6,2.68,2002.462555,68.76,13,87.38,90.68,54.23,2,T3,express,1
3185.43,21.3,2.28,262.760194,55.88,2,57.99,13.27,224.14,4,T3,express,0
3158.02,87.34,1.72,181.987382,27.83,9,68.46,69.63,164.35,7,T1,standard,1
918.78,109.2,0.47,348.762191,20.51,7,92.1,74.54,39.17,7,T2,standard,0
1474.73,74.24,2.06,39.344947,44.76,5,26.8,45.22,64.54,2,T1,express,0
2251.45,46.12,3.37,0,46.68,16,84.57,49.65,122.95,2,T3,express,0
2716.89,39.42,2.92,117.965054,12.32,10,35.01,16.0,131.61,4,T1,standard,0
2935.28,101.91,1.17,179.969686,5.95,5,4.09,94.53,76.43,3,T1,express,1
944.15,7.48,2.04,0,62.58,5,84.58,39.13,228.4,2,T1,standard,0
254.22,116.31,1.51,121.48748,44.98,3,41.45,99.1,158.19,2,T2,standard,0
45.35,104.53,2.2,358.053471,1.56,4,59.02,0.33,188.82,1,T1,standard,0
834.93,88.67,2.05,239.347493,65.04,17,97.36,25.26,29.58,2,T2,standard,0
1340.31,23.44,0.16,430.175379,23.81,18,15.63,31.59,45.4,1,T2,express,0
2091.41,59.7,0.28,435.549499,21.94,3,58.0,32.41,78.74,5,T1,standard,0
588.43,31.02,3.35,0,15.18,4,23.45,65.07,119.35,6,T1,standard,0
2351.19,105.0,1.29,631.618275,51.68,17,24.99,25.41,153.64,1,T2,express,1
2575.97,78.09,2.38,264.891829,63.13,4,80.0,,159.26,3,T3,express,0
898.29,75.3,0.74,354.62224,36.45,18,50.81,90.29,170.5,5,T2,standard,0
574.04,109.34,0.32,384.66828,28.91,6,7.72,21.02,163.93,4,T1,standard,0
1782.36,83.68,2.46,254.093894,67.74,1,78.01,59.55,78.48,3,T1,standard,1
803.27,10.72,3.46,330.233163,63.53,2,86.35,6.04,15.77,1,T3,express,1
1567.7,20.77,1.27,195.972981,51.26,3,43.09,46.1,58.89,3,T1,express,1
1125.56,100.71,2.32,22.816802,44.6,17,6.81,90.42,86.48,7,T1,standard,0
1781.77,30.72,,215.689045,63.64,4,34.42,56.99,70.09,2,T2,standard,1
