age,revenu_annuel,anciennete_emploi_mois,montant_credit,duree_credit_mois,taux_endettement,nb_credits_actifs,historique_impayes_24m,score_bureau,ratio_utilisation_cartes,nb_enfants,logement,defaut
52,39656.44,96,5574.18,19,0.44,2,3,553,0.3,2,proprietaire,0
29,89179.61,88,22099.73,71,0.7,2,12,616,0.41,0,locataire,0
52,68119.13,226,35950.9,6,0.36,6,4,546,0.5,5,proprietaire,1
27,70540.59,36,11158.62,8,0.3,1,6,514,0.02,2,famille,0
62,94090.94,173,19429.78,17,0.48,0,NA,507,0.82,3,famille,1
59,69373.57,140,37968.65,8,0.5,7,11,483,0.45,0,proprietaire,1
67,38442.49,57,34533.8,NA,0.06,6,,818,0.76,6,proprietaire,1
49,36110.81,72,28891.74,60,0.1,3,11,524,0.12,5,famille,0
67,79810.89,160,24202.88,17,0.62,2,12,501,0.47,2,famille,1
61,60328.87,150,24146.1,78,0.26,4,9,615,0.7,5,famille,1
61,59526.8,86,43486.27,76,0.47,4,4,477,0.58,6,locataire,1
32,86422.63,80,31662.78,21,0.55,4,9,410,0.61,3,locataire,0
63,86644.04,138,37456.42,31,0.34,7,12,476,0.06,5,famille,1
54,56989.32,195,41870.96,66,0.62,3,12,802,2.83,0,proprietaire,1
27,17180.84,19,35705.26,28,0.39,1,11,406,0.97,4,locataire,0
22,83972.75,125,27928.69,67,0.25,2,6,700,0.58,0,famille,0
53,60549.81,107,43985.48,48,0.54,2,6,493,0.84,5,locataire,1
52,26866.72,139,25414.03,76,0.47,0,3,727,0.34,2,locataire,0
45,18364.16,235,24721.92,39,0.08,4,5,654,0.11,2,famille,0
64,73592.68,37,33004.41,80,0.67,5,0,554,0.68,3,locataire,1
24,79036.47,92,32994.21,17,0.1,7,2,647,0.75,5,famille,0
62,34238.51,231,27390.16,19,0.7,5,0,709,0.28,3,proprietaire,1
25,46598.83,189,24573.89,83,0.44,2,5,573,0.08,6,locataire,0
42,40182.18,129,1280.69,21,0.67,3,9,567,0.37,1,proprietaire,0
63,70843.43,26,1470.28,20,0.7,0,5,544,0.36,6,locataire,1
60,83733.64,24,5945.62,67,0.7,0,8,451,0.56,0,famille,1
61,86327.74,217,39437.57,50,0.45,5,8,638,0.97,4,locataire,1
43,84610.94,116,20631.27,56,0.14,1,11,716,0.55,1,proprietaire,1
42,49568.85,137,39850.33,22,0.47,5,8,486,0.14,2,locataire,0
56,35483.29,234,16606.51,9,0.36,1,1,683,0.0,NA,proprietaire,1
54,37402.07,23,17973.34,57,0.52,3,5,690,0.79,6,proprietaire,0
26,51582.93,112,25520.44,46,0.71,1,5,730,0.79,0,proprietaire,0
40,93463.28,82,13655.67,32,0.6,5,9,443,0.37,3,locataire,1
54,81729.27,188,30083.12,13,0.07,5,6,739,0.78,3,locataire,1
24,80944.52,80,11716.97,56,0.42,0,0,455,0.67,4,locataire,0
53,47969.87,11,32111.95,13,0.49,5,8,704,0.73,5,proprietaire,0
45,83148.55,29,22423.74,40,0.52,3,0,413,0.14,1,proprietaire,1
