anciennete_mois,facture_moyenne,nb_reclamations_12m,nb_appels_support_3m,satisfaction,nb_options,freq_portail_mois,variation_facture_3m,delai_resolution_incident_h,score_fidelite,region,mode_paiement,churn
11,175.44,15,20,7.92,9,34,35.79,27.67,85,Est,prelevement,0
18,177.34,8,3,8.17,3,21,49.23,53.44,92,Sud,prelevement,0
14,115.94,3,12,6.06,10,23,-25.93,87.69,67,Nord,virement,0
26,107.55,8,22,4.49,9,9,-18.86,,85,Ouest,carte,0
86,101.12,7,4,5.39,6,31,37.09,6.69,76,Sud,carte,1
63,97.17,3,11,7.29,4,12,56.37,33.15,18,Sud,prelevement,0
78,119.62,9,11,5.48,2,32,-4.59,14.04,7,Nord,prelevement,1
43,119.44,8,14,7.35,5,39,-11.92,70.5,45,Ouest,virement,0
52,73.04,0,6,2.49,9,30,50.48,43.27,35,Ouest,prelevement,0
68,26.18,11,9,3.8,0,9,7.43,37.75,16,Ouest,prelevement,1
41,133.37,17,8,7.42,5,41,43.6,37.87,64,Nord,carte,1
94,175.62,7,19,9.14,3,3,-26.44,25.56,60,Ouest,carte,1
87,63.96,18,1,3.67,10,27,-3.82,40.45,31,Ouest,prelevement,1
14,37.58,10,4,7.9,3,43,69.71,32.5,38,Sud,prelevement,0
95,106.54,13,14,1.58,0,14,58.92,53.04,80,Nord,carte,1
67,34.43,5,9,1.79,3,16,58.29,41.59,35,Sud,virement,0
,107.12,18,17,8.26,2,28,4.72,56.56,18,Sud,prelevement,1
38,88.15,16,3,4.24,1,0,20.52,72.5,21,Nord,prelevement,0
30,40.37,1,20,7.59,6,31,-11.77,3.72,6,Est,virement,0
4,23.05,0,4,7.8,3,9,68.6,71.35,19,Sud,prelevement,0
64,205.95,18,1,7.57,9,10,52.04,42.11,66,Sud,prelevement,1
3,162.49,14,11,7.2,7,33,21.89,24.32,64,Nord,carte,0
66,155.56,18,10,8.41,3,2,23.15,56.67,60,Nord,carte,1
27,86.71,13,19,1.27,8,,21.36,13.53,30,Est,prelevement,0
96,46.48,10,22,8.7,6,21,65.94,28.01,75,Sud,NA,1
69,130.93,15,15,7.72,6,35,-21.12,1.02,56,Est,carte,1
43,68.83,3,4,,0,10,3.09,22.94,14,Sud,carte,0
86,30.19,13,3,7.26,4,19,-2.57,28.18,49,Ouest,prelèvement,1
82,38.1,12,1,5.55,2,13,-24.13,25.46,65,Est,virement,1
88,85.09,15,10,3.45,6,15,0.97,25.03,42,Ouest,carte,1
96,209.76,6,6,1.68,8,20,62.82,56.29,2,Sud,prelevement,1
9,202.82,15,14,3.5,5,10,34.08,62.04,81,Ouest,carte,0
25,176.42,4,17,6.64,2,36,3.92,66.33,1,Ouest,prelevement,0
46,39.73,3,19,3.0,8,19,23.93,86.33,56,Sud,carte,0
26,41.28,2,16,2.35,1,42,1.04,50.41,9,Nord,prelevement,0
53,40.44,10,16,8.86,3,23,19.31,74.31,73,Ouest,carte,0
20,198.78,2,4,2.23,9,42,-29.51,19.14,59,Nord,carte,0
46,211.52,8,9,9.34,2,28,70.09,56.23,8,Nord,virement,1
87,119.16,18,16,1.92,7,34,-22.6,32.79,83,Sud,prelevement,1
47,61.82,6,14,2.5,2,37,50.38,48.21,6,Ouest,carte,0
93,88.38,0,4,6.97,8,29,-2.41,50.45,16,Est,carte,1
9,33.24,11,17,2.97,9,40,26.66,53.68,26,Sud,virement,0
9,52.95,8,2,9.97,1,3,55.12,64.87,85,Est,prelevement,0
45,183.15,0,51.68,9.59,3,14,58.69,58.35,27,Sud,prelevement,0
80,194.08,0,5,6.74,9,12,72.83,31.17,95,Sud,carte,1
83,30.82,13,20,1.4,0,33,19.32,92.37,22,Sud,virement,1
36,19.09,2,6,4.34,3,7,56.98,80.56,59,Sud,prelevement,0
71,177.7,11,13,8.14,1,4,-4.06,59.78,87,Sud,virement,1
75,184.71,17,3,4.55,3,1,31.83,50.48,8,Ouest,virement,1
