temperature_c,vibration,humidite_pct,pression_bar,heures_utilisation_jour,nb_alertes_7j,derniere_maintenance_jours,nb_interventions_12m,consommation_kwh_j,indice_usure,site,equipement_type,panne_30j
43.61,0.79,82.65,1.31,20.01,13,219,9,241.39,55.9,C,compresseur,0
45.66,17.55,32.19,8.19,2.9,17,709,50.03,690.9,25.11,C,compresseur,0
62.14,11.9,45.91,4.14,18.83,25,309,12,593.95,41.4,C,pompe,0
85.25,3.44,19.8,5.8,7.87,2,41,7,,88.02,A,convoyeur,1
55.48,4.68,49.44,2.06,14.18,2,511,1,367.86,34.57,A,compresseur,0
60.01,1.41,42.74,5.46,17.79,16,311,13,376.32,10.49,B,convoyeur,0
86.31,12.37,20.58,4.92,21.11,23,601,9,482.18,85.53,B,pompe,1
76.35,8.61,46.56,2.72,1.07,2,391,17,328.81,17.35,A,compresseur,1
62.58,16.43,32.13,8.19,19.27,5,446,4,26.97,45.7,C,pompe,1
41.22,5.79,88.62,6.66,19.9,7,402,11,443.78,11.61,C,compresseur,0
93.03,8.18,25.75,1.47,13.16,6,714,18,638.06,35.36,C,compresseur,1
54.21,10.09,62.72,8.39,14.12,5,561,9,57.03,84.68,C,convoyeur,0
91.64,1.05,24.6,3.6,4.64,11,140,13,205.64,84.32,B,pompe,1
57.28,0.97,17.1,6.03,15.74,13,674,9,387.93,81.49,A,compresseur,0
65.7,9.8,16.54,7.76,3.52,1,489,4,198.57,19.35,B,compresseur,0
68.2,10.35,57.32,5.68,14.1,14,127,7,322.96,82.05,C,pompe,1
73.16,9.32,73.09,9.37,5.99,5,633,9,468.27,80.21,A,compresseur,1
43.15,0.36,19.77,3.64,12.35,19,636,4,650.3,32.28,A,pompe,0
59.99,12.46,53.52,2.75,19.29,18,188,11,773.49,43.35,B,convoyeur,0
45.82,6.84,80.67,2.85,8.04,20,582,12,428.4,58.25,C,pompe,0
60.75,17.17,63.87,5.6,6.9,11,471,3,632.53,19.06,B,pompe,1
71.72,7.99,35.48,5.72,13.7,0,668,15,688.33,98.26,A,compresseur,1
69.03,14.4,86.56,7.06,21.33,2,249,13,38.88,37.07,B,compresseur,1
51.29,4.03,49.65,1.7,7.13,10,702,2,436.9,39.68,A,convoyeur,0
93.97,9.57,29.17,4.65,3.12,10,482,13,762.4,92.53,A,convoyeur,1
74.0,9.6,70.53,5.3,3.54,23,424,7,174.68,39.36,C,pompe,1
74.73,15.97,29.43,6.68,19.24,5,247,14,712.03,38.69,B,compresseur,1
64.03,10.81,13.8,8.03,17.62,16,154,8,123.25,88.92,A,convoyeur,0
89.32,8.48,58.23,6.15,11.02,19,544,3,401.41,6.49,A,compresseur,1
94.99,9.57,86.14,8.81,20.04,18,445,11,219.25,91.51,C,compresseur,1
68.99,12.11,17.94,2.95,14.75,14,36,8,784.71,92.09,B,pompe,1
57.05,10.98,67.33,2.77,21.72,15,360,9,308.71,9.5,C,compresseur,0
71.9,0.26,47.75,2.05,,9,274,10,NA,78.69,B,pompe,0
85.82,2.72,19.58,5.2,14.45,1,180,10,366.28,7.71,B,pompe,1
38.42,8.53,54.81,8.62,14.61,20,72,9,757.62,26.53,C,pompe,0
70.94,5.04,29.29,1.58,21.09,16,457,3,589.47,28.33,B,pompe,0
87.82,13.54,22.66,2.48,16.53,17,118,15,568.73,94.07,C,pompe,1
58.19,12.07,86.26,0.98,18.22,2,142,18,446.08,67.91,C,pompe,1
86.26,6.49,52.52,8.69,6.95,17,527,12,141.29,70.63,A,compresseur,1
71.72,7.65,67.09,8.43,13.93,0,550,14,70.19,31.69,A,pompe,1
55.56,0.18,37.33,NA,17.94,3,653,13,293.55,87.1,A,convoyeur,0
65.17,6.11,16.9,1.82,3.49,22,364,16,685.59,91.93,A,compresseur,0
45.09,11.31,38.31,8.65,21.89,18,320,11,421.32,99.82,B,compresseur,0
91.09,1.21,46.14,4.85,7.29,23,107,2,786.75,14.76,A,compresseur,1
