distance_km,poids_kg,volume_m3,cout_transport,delai_preparation_h,nb_points_passage,score_qualite_route,meteo_risque,promesse_delai_h,jour_semaine,transporteur,priorite,retard
2640.86,36.35,2.11,280.836179,41.16,1,90.73,86.12,73.79,1,T2,express,1
455.76,105.4,2.98,129.460005,38.93,18,19.67,63.86,18.44,5,T2,express,0
2697.13,48.47,2.54,152.427963,1.04,9,73.39,3.01,6.7,7,T2,standard,0
2374.28,53.02,1.05,253.757238,69.15,4,,92.35,97.9,4,T2,express,1
402.09,80.59,1.1,178.377664,26.86,17,66.23,10.08,16.53,7,T3,standard,0
945.42,107.07,1.06,280.849959,36.38,10,63.76,54.08,69.87,4,T3,express,0
1171.04,95.41,3.09,113.954358,3.58,15,84.5,82.93,14.41,4,T3,express,0
3179.33,85.15,0.89,253.734974,30.9,12,64.4,80.01,189.79,5,T2,standard,0
153.9,99.27,0.4,76.613674,44.47,15,12.49,3.71,226.9,6,T3,standard,1
2596.06,6.45,0.47,285.662729,46.44,7,80.74,12.16,164.9,4,T1,standard,0
2665.28,81.84,,149.836451,12.48,16,69.77,37.67,174.2,7,T2,standard,0
2639.38,5.09,0.96,241.315675,14.26,17,30.83,66.39,74.37,NA,T1,express,0
1117.69,4.79,0.87,104.20251,64.85,14,73.87,43.97,176.7,2,T1,express,0
1525.31,67.13,1.08,148.372074,14.38,13,36.81,99.62,207.76,2,T1,standard,0
3065.85,37.19,3.24,122.876085,16.58,4,17.08,95.56,124.83,4,T1,standard,1
71.26,99.49,2.91,188.601913,64.12,14,13.12,8.31,32.18,1,T3,express,1
1312.47,15.34,2.76,339.02405,47.55,15,18.63,88.5,190.38,6,T1,express,0
3151.28,65.54,2.65,155.603111,34.18,15,38.39,98.07,115.75,5,T3,standard,1
302.58,7.13,3.31,64.746444,24.76,15,69.41,12.23,69.57,2,T3,standard,0
1778.21,1.26,1.77,400.06804,22.99,1,49.96,30.02,208.17,5,T3,express,0
1923.14,54.48,0.77,41.456157,24.82,8,98.21,43.19,162.21,7,T1,standard,0
1049.23,29.33,0.73,253.744717,52.95,1,69.43,37.86,107.95,6,T3,express,0
,34.06,0.8,106.955462,58.04,10,99.09,3.17,23.34,1,T3,express,0
594.95,40.8,1.18,428.623735,50.79,14,73.39,98.95,26.88,7,T2,express,0
819.79,33.71,1.61,0,58.69,5,30.14,0.83,98.03,2,T2,standard,1
1922.53,109.99,0.92,310.361244,4.25,4,,81.09,71.72,4,T1,standard,1
1366.68,2.06,0.25,65.476865,37.94,6,66.35,81.27,174.97,1,T1,standard,0
2390.85,9.17,3.36,283.310447,31.25,3,26.4,92.77,61.66,4,T2,standard,0
1644.05,6.33,0.65,87.106854,47.88,2,97.3,49.24,213.35,5,T3,express,0
2465.99,84.26,2.05,270.519275,1.2,18,37.4,70.27,186.87,5,T3,standard,0
1481.88,62.64,2.01,203.934096,37.1,16,78.95,1.45,10.98,6,T1,standard,0
972.82,99.03,2.93,352.258745,12.13,12,51.83,60.35,37.54,3,T2,express,0
3061.96,87.82,2.36,244.949493,,6,18.63,81.89,54.78,1,T3,express,0
1009.6,37.92,2.49,124.214323,56.4,6,87.89,19.72,93.56,3,T1,standard,0
2965.46,69.94,3.4,477.223188,52.8,18,48.31,37.84,11.91,7,T3,standard,1
2619.71,38.85,2.65,91.478438,63.95,12,75.25,81.46,29.11,6,T1,express,0
879.72,82.29,3.38,277.066592,29.8,14,17.07,42.86,205.59,1,T2,standard,0
2121.62,61.93,2.74,393.774535,1.12,9,33.16,23.72,157.74,1,T2,standard,1
1046.82,48.11,1.35,415.760802,9.72,7,16.46,39.03,73.32,4,T3,express,0
,118.04,0.3,157.139703,43.39,13,98.53,71.05,152.69,1,T2,express,1
420.34,3.09,1.03,131.20111,46.9,8,94.24,82.07,77.99,4,T3,standard,0
850.59,46.73,0.35,135.110161,18.48,15,4.86,4.88,35.34,2,T3,standard,1
2023.46,109.45,2.71,217.559063,20.08,11,39.77,35.63,206.57,6,T1,standard,0
2787.09,99.04,1.61,191.862541,8.47,10,3.7,32.52,214.43,5,T1,standard,0
1947.53,10.3,3.03,138.472934,65.78,5,91.27,18.39,29.65,2,T3,standard,0
2422.3,42.67,0.03,412.306732,53.83,11,95.85,4.61,133.8,1,T1,standard,1
3164.83,60.8,1.7,166.857443,61.09,8,32.8,13.07,213.45,2,T2,express,1
1392.67,104.51,1.08,229.92039,70.53,17,94.16,19.23,221.31,6,T1,standard,1
540.11,92.76,1.37,264.294283,48.48,9,93.39,13.67,192.23,6,T1,standard,0
3155.42,93.16,2.01,191.40103,61.69,18,38.97,54.35,56.56,3,T1,express,0
1937.78,38.92,1.79,107.80582,61.58,5,21.89,28.78,141.53,3,T1,express,1
767.17,42.56,2.77,364.886517,25.35,18,6.74,80.76,218.51,5,T1,express,0
2186.77,64.55,1.58,125.946426,3.15,1,67.3,40.38,205.39,2,T2,standard,0
1248.39,20.64,3.29,169.385501,13.67,16,37.53,89.07,230.1,4,T3,express,0
1327.62,36.58,1.21,67.262726,50.83,18,5.1,61.39,226.87,5,T1,standard,1
2605.25,112.56,1.64,61.404685,48.71,18,37.97,71.01,129.06,3,T1,express,0
1360.06,43.04,1.25,100.862204,40.88,14,85.26,220.44,70.41,4,T1,express,0
2146.67,38.15,3.22,116.629201,70.68,18,2.63,98.72,65.18,1,T1,standard,1
1648.09,46.87,1.89,265.374746,70.94,18,26.77,67.17,215.35,5,T2,express,0
742.04,86.96,1.07,99.809026,38.84,16,71.74,8.98,192.94,2,T2,express,0
864.73,108.18,3.02,278.741093,53.72,17,11.1,58.95,70.19,5,T3,express,0
